Date,Open,High,Low,Close,Volume
09.01.2008 21:00:00.000 GMT+0300,2.22178,2.22676,2.21524,2.21694,2565.8
10.01.2008 01:00:00.000 GMT+0300,2.21656,2.21769,2.2111,2.2129,2984.8
10.01.2008 05:00:00.000 GMT+0300,2.2126900000000003,2.21653,2.2092,2.2157,3542.8
10.01.2008 09:00:00.000 GMT+0300,2.21597,2.21988,2.21162,2.21543,13281.0
10.01.2008 13:00:00.000 GMT+0300,2.21518,2.22559,2.21179,2.21188,7884.1001
10.01.2008 17:00:00.000 GMT+0300,2.21198,2.21564,2.18687,2.18843,2594.4
10.01.2008 21:00:00.000 GMT+0300,2.18854,2.1926099999999997,2.18452,2.18945,2564.0
11.01.2008 01:00:00.000 GMT+0300,2.18892,2.194,2.1861200000000003,2.19073,2987.3
11.01.2008 05:00:00.000 GMT+0300,2.19042,2.1968900000000002,2.18873,2.1912700000000003,3583.5
11.01.2008 09:00:00.000 GMT+0300,2.1907799999999997,2.19392,2.17449,2.1800200000000003,13284.5999
11.01.2008 13:00:00.000 GMT+0300,2.18034,2.1926799999999997,2.17987,2.18567,7886.8001
11.01.2008 17:00:00.000 GMT+0300,2.18533,2.19542,2.18368,2.19464,2595.0
11.01.2008 21:00:00.000 GMT+0300,2.19434,2.19734,2.19211,2.1951099999999997,2566.4
12.01.2008 01:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
12.01.2008 05:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
12.01.2008 09:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
12.01.2008 13:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
12.01.2008 17:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
12.01.2008 21:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 01:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 05:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 09:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 13:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 17:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
13.01.2008 21:00:00.000 GMT+0300,2.1951099999999997,2.1951099999999997,2.1951099999999997,2.1951099999999997,0.0
14.01.2008 01:00:00.000 GMT+0300,2.20037,2.20086,2.18552,2.18751,2593.5
14.01.2008 05:00:00.000 GMT+0300,2.18751,2.19014,2.18438,2.18987,2564.9
14.01.2008 09:00:00.000 GMT+0300,2.18965,2.19251,2.17961,2.186,2593.2
14.01.2008 13:00:00.000 GMT+0300,2.186,2.18626,2.17495,2.17556,7888.3
14.01.2008 17:00:00.000 GMT+0300,2.17555,2.18463,2.17386,2.18375,13279.7997
14.01.2008 21:00:00.000 GMT+0300,2.18376,2.18376,2.173,2.1730400000000003,3583.2
15.01.2008 01:00:00.000 GMT+0300,2.17318,2.17682,2.1707,2.17393,2991.2
15.01.2008 05:00:00.000 GMT+0300,2.17393,2.17702,2.1715299999999997,2.1743799999999998,2551.4
15.01.2008 09:00:00.000 GMT+0300,2.17488,2.18186,2.1689599999999998,2.17786,2595.0
15.01.2008 13:00:00.000 GMT+0300,2.17758,2.19381,2.17758,2.19295,7886.2
15.01.2008 17:00:00.000 GMT+0300,2.19302,2.2177599999999997,2.1903099999999998,2.21343,13283.0998
15.01.2008 21:00:00.000 GMT+0300,2.21314,2.22765,2.20823,2.22707,3582.3
16.01.2008 01:00:00.000 GMT+0300,2.2274700000000003,2.23224,2.21332,2.2203,2995.7
16.01.2008 05:00:00.000 GMT+0300,2.22063,2.22185,2.21086,2.21837,2558.2
16.01.2008 09:00:00.000 GMT+0300,2.2180400000000002,2.23183,2.2147799999999997,2.22685,2593.5
16.01.2008 13:00:00.000 GMT+0300,2.2273099999999997,2.23595,2.22195,2.23595,7885.2998
16.01.2008 17:00:00.000 GMT+0300,2.23645,2.24293,2.22796,2.22969,13280.0999
16.01.2008 21:00:00.000 GMT+0300,2.22952,2.2349799999999997,2.22133,2.2308,3585.7
17.01.2008 01:00:00.000 GMT+0300,2.23083,2.2332799999999997,2.22242,2.2279,2987.7
17.01.2008 05:00:00.000 GMT+0300,2.22748,2.23244,2.22341,2.23149,2542.5
17.01.2008 09:00:00.000 GMT+0300,2.23156,2.23263,2.22091,2.23055,2594.1
17.01.2008 13:00:00.000 GMT+0300,2.23088,2.23367,2.21656,2.2229099999999997,7882.3001
17.01.2008 17:00:00.000 GMT+0300,2.22253,2.23983,2.22135,2.23493,13284.6001
17.01.2008 21:00:00.000 GMT+0300,2.2345099999999998,2.24855,2.23038,2.24744,3583.8
18.01.2008 01:00:00.000 GMT+0300,2.24797,2.26295,2.24293,2.2612799999999997,2984.8
18.01.2008 05:00:00.000 GMT+0300,2.26126,2.26201,2.24002,2.2448099999999998,2552.2
18.01.2008 09:00:00.000 GMT+0300,2.24477,2.24879,2.2311900000000002,2.23337,2593.5
18.01.2008 13:00:00.000 GMT+0300,2.23337,2.23437,2.2145,2.2178400000000003,7883.4999
18.01.2008 17:00:00.000 GMT+0300,2.21733,2.2305099999999998,2.2144,2.22677,13280.6999
18.01.2008 21:00:00.000 GMT+0300,2.22633,2.2290099999999997,2.21782,2.22221,3554.7
19.01.2008 01:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
19.01.2008 05:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
19.01.2008 09:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
19.01.2008 13:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
19.01.2008 17:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
19.01.2008 21:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 01:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 05:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 09:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 13:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 17:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
20.01.2008 21:00:00.000 GMT+0300,2.22221,2.22221,2.22221,2.22221,0.0
21.01.2008 01:00:00.000 GMT+0300,2.22634,2.2307900000000003,2.21775,2.227,3382.5
21.01.2008 05:00:00.000 GMT+0300,2.2268,2.2337,2.22273,2.23217,3582.6
21.01.2008 09:00:00.000 GMT+0300,2.23222,2.23942,2.23095,2.23904,13283.1
21.01.2008 13:00:00.000 GMT+0300,2.23843,2.25849,2.23813,2.2501,7883.8
21.01.2008 17:00:00.000 GMT+0300,2.25063,2.26205,2.2503599999999997,2.2573,2594.4
21.01.2008 21:00:00.000 GMT+0300,2.2570200000000002,2.2603400000000002,2.25113,2.25467,2558.3
22.01.2008 01:00:00.000 GMT+0300,2.25421,2.26396,2.25232,2.25349,2979.8
22.01.2008 05:00:00.000 GMT+0300,2.25367,2.2636700000000003,2.2518700000000003,2.2562900000000004,3583.5
